Ward Name,Ward No.,Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands)
Pu.La.Deshpande Udhyan,104.0,23399.0,11873.0,11526.0
Mejor Thathwade Udhyan,105.0,17854.0,8556.0,9298.0
Kothrud Gaon,106.0,19993.0,9856.0,10137.0
Happy Colony,107.0,18668.0,9537.0,9131.0
Dahanukar Colony ,108.0,12827.0,6441.0,6386.0
Warje Jal Shudhikaran Prakalpa,109.0,35401.0,18565.0,16836.0
Popularnagar Warje,110.0,38951.0,20877.0,18074.0
Warje  Malwadi,111.0,26155.0,14013.0,12142.0
Maharshi karve Nagar ,112.0,24492.0,12862.0,11630.0
Higne Steri Shikshan Sanstha,113.0,21971.0,10627.0,11344.0
Janta Vasahat,114.0,17964.0,9497.0,8467.0
Shau Collage,115.0,16330.0,8071.0,8259.0
Parvati Industrial Estate,116.0,15033.0,7519.0,7514.0
Maharshi Nagar,117.0,16021.0,7961.0,8060.0
Chatrapati Shivaji Marketyard,118.0,18923.0,9624.0,9299.0
D.A.D Colony,119.0,22201.0,11354.0,10847.0
Kondhva Khurd,120.0,25014.0,12896.0,12118.0
N.I.B.M,121.0,34937.0,17372.0,17565.0
Mithanagar ,122.0,49363.0,25670.0,23693.0
Bibvewadi,123.0,24791.0,12677.0,12114.0
Shankar Maharaj Math,124.0,20316.0,10220.0,10096.0
Padmavati -Areneshwar,125.0,20700.0,10397.0,10303.0
Taljai Mandir,126.0,18853.0,9442.0,9411.0
Anandnagar -Higne Khurd,127.0,25783.0,13124.0,12659.0
Vitthalwadi,128.0,36080.0,18409.0,17671.0
Vadgaon Dhayari,129.0,44678.0,23651.0,21027.0
Vadgaon Budruk,130.0,25876.0,13601.0,12275.0
Manikbaug,131.0,20666.0,10790.0,9876.0
Chavannagar,132.0,26685.0,13836.0,12849.0
Dhankawadi Ambegaon Pathar,133.0,23888.0,12745.0,11143.0
Dhankawadi Gaon,134.0,25148.0,13034.0,12114.0
Chaitanya Nagar Dhankawadi,135.0,15030.0,7757.0,7273.0
Balajinagar,136.0,19916.0,10335.0,9581.0
Sukhsagarnagar,137.0,31390.0,16204.0,15186.0
Vishwakarma Institute (Bibvewadi),138.0,16457.0,8418.0,8039.0
Upper Indiranagar Bibvewadi,139.0,35527.0,18605.0,16922.0
Kondhva Budrukh,140.0,45476.0,24182.0,21294.0
Katraj Gaon,141.0,41214.0,21539.0,19675.0
Rajiv Gandhi Pranisangrhalya,142.0,17067.0,8821.0,8246.0
Bharti Vidhyapeeth,143.0,40938.0,21214.0,19724.0
Agam Mandir Katraj,144.0,26762.0,14135.0,12627.0
Yewalewadi (CT),145.0,7685.0,4137.0,3548.0
Lahagaon  (N.V.),146.0,32857.0,17700.0,15157.0
Hadapsar  (N.V.),147.0,14833.0,7906.0,6927.0
Keshavnagar-Mundwa  (N.V.),148.0,29965.0,16309.0,13656.0
Shivne (Part)  (N.V.),149.0,16689.0,8850.0,7839.0
Ambegaon Kh (Part)  (N.V.),150.0,10959.0,5834.0,5125.0
Undari (Part)  (N.V.),151.0,7970.0,4345.0,3625.0
Dhayari (Part)  (N.V.),152.0,21861.0,11524.0,10337.0
Ambegaon Bk (Part)  (N.V.),153.0,21387.0,11461.0,9926.0
Uruli-dewachi/mantarwadi,154.0,9403.0,4900.0,4503.0
Fursungi,155.0,66062.0,34739.0,31323.0
Shivane (Uttamnagar)  (N.V.),156.0,7497.0,3853.0,3644.0
Mahalunge  (N.V.),157.0,6471.0,3426.0,3045.0
Sus  (N.V.),158.0,4862.0,2575.0,2287.0
Bavadhan BK  (N.V.),159.0,10438.0,5451.0,4987.0
Kirkitwadi  (N.V.),160.0,8941.0,4665.0,4276.0
Pisoli  (N.V.),161.0,5417.0,2992.0,2425.0
Kondave - Dhavde  (N.V.),162.0,17153.0,9972.0,7181.0
Kopare  (N.V.),163.0,3301.0,1691.0,1610.0
Nanded  (N.V.),164.0,11371.0,6260.0,5111.0
Khadakwasala  (N.V.),165.0,9469.0,4916.0,4553.0
Manjari Bk (N.V.),166.0,36816.0,19244.0,17572.0
Nahre  (N.V.),167.0,16174.0,8828.0,7346.0
Holkarwadi,168.0,2913.0,1547.0,1366.0
Autadwadi Handewadi,169.0,2556.0,1344.0,1212.0
Wadachiwadi,170.0,929.0,489.0,440.0
Shewalwadi,171.0,4059.0,2136.0,1923.0
Nandoshi,172.0,757.0,391.0,366.0
Sanas Nagar,173.0,616.0,326.0,290.0
Mangadewadi,174.0,3970.0,2050.0,1920.0
Bhilarewadi,175.0,2694.0,1447.0,1247.0
Gujar Nimbalkarwadi,176.0,1384.0,719.0,665.0
Jambhulwadi,177.0,972.0,523.0,449.0
Kolewadi,178.0,456.0,236.0,220.0
Wagholi (CT),179.0,33479.0,17767.0,15712.0
